id,student_number,year,time_1,time_2,people,age,intrusiveness
416,3d4e218b42279d43eff29b9f14cc42084d9be3a3,21,20:10:20,20:25:10,80,11,11
417,8a8f435cd46556d85334afdbb0970ea1bd08afe8,21,20:17:00,20:20:00,80,15,6
418,99410ca81a3d2065da173a5123c081918941d47c,21,20:15:22,20:16:40,20,5,10
419,7fd2c7812315a084caf484f17d64a99fea519cb9,21,20:15:00,20:16:40,90,10,15
420,2f04c6027b44c3a49a4690b06273f006297d0ddd,21,20:16:00,20:18:00,40,10,17
421,50749d91bdcbc6e3db339ab453651560d476ec86,21,20:11:00,20:12:00,80,15,14
422,bb69e9a98b7650f01d40bd43789796c8730fc926,22,17:05:00,17:07:00,60,13,14
423,3d229c0a50e5342109b114173e52dc0bb9ae27ef,22,17:05:07,17:08:20,64,9,9
424,0f58d5a5515f1a8a9d179aa58858b67b2f8a3388,22,17:07:00,17:08:00,80,14,2
425,a345eeed710df734b6261ca281b153f513b42574,22,17:07:00,17:08:00,40,11,1
426,3baf494fc96051c8070227a8747a8a92898717c9,22,17:06:00,17:09:00,78,8,1
427,5f4a2df4f6d5d643562b29e3400f68302d2d8e9d,22,17:06:00,17:09:00,40,9,5
428,8e854e87d149dad76a06dbd3c9fe5c35cb41161b,22,17:05:00,17:03:00,52,12,1
429,d04ba947ee92535e60d253fc33dc5ac5e5cbdf41,22,17:05:02,17:03:10,60,10,12
430,132493f71b2338d162df194e06a539c687429589,22,17:07:19,17:08:02,52,7,13
431,3113e9594300fe594c0dfb0ac408796e9ac5de03,22,17:08:36,17:09:47,40,9,9
432,0f39023d214eb580f7888550047649c205006f35,22,17:07:55,17:09:20,110,18,10
433,c046693d9af7fed4f2bf25706c35cab6abd69fb2,22,17:06:00,17:09:00,106,19,2
434,3ca1712937de09fde4e2cd52012046fc2d89b2ef,22,17:07:17,17:08:50,45,10,9
435,3855786bdf8946cd8d1aa875448ec5bcdce6e5d4,22,17:06:00,17:08:00,58,8,12
436,f96a48ae6a836a731266b4a0583202a64cfd1b4c,22,17:05:00,17:10:00,70,18,14
437,c42dd7401d287ff84a266a0487b2a09818afee31,22,17:06:00,17:08:00,70,9,2
438,3cde891172dfd866aaabcf3b787774435d43fa93,22,17:07:35,17:11:20,50,13,11
439,fe656848d9af436e1c7365b95e95e14dc302b6db,22,17:06:00,17:14:00,60,12,9
441,bfb9d7610b13b94c6107dee6b0c2c8e339ceb0a5,22,17:06:00,17:08:00,45,8,4
444,1864d661de2657d36be2ab843debf86d96baaf4a,22,17:05:25,17:07:30,80,11,12
445,6c95c5b53566f7df941138181e1475d30fbd7b39,22,17:06:10,17:09:14,60,15,14
446,270686a66abdde79d79e3c1863fea81f34bb7795,22,17:07:35,17:09:53,50,8,4
447,a027edb1f2fb20e10d8ffa0a6da8759aebcd60e5,22,17:05:00,17:06:00,43,13,14
448,431a42656e346ff5ddd7c653ae8199854be96ea9,23,13:51:43,13:54:08,50,9,2
449,6be5d6c17a6e1f77675c628930b9af8475db24cb,23,13:50:00,13:51:38,63,12,1
450,ad307ea4162ac7cd141298dd95b05cbdcc395336,23,13:57:00,13:59:00,90,14,10
451,11fa4363ec9b14b586d5d21471a47fa12e92218d,23,13:57:00,13:58:00,50,9,18
452,688a4ca2ff15d0094e9839a64e6ebf43ed47879c,23,13:54:00,13:56:00,80,8,7
453,6ef894501c9215c6ae4e3d4bd4a658feda79b853,23,13:54:21,13:56:14,75,12,13
454,e7be41ae619bf90ac36d6b5afd00ae68922e3ac4,23,13:47:00,13:53:00,110,16,10
455,e516dbf7ba684aa66a5e449bdf387a80d02d7bb4,23,13:48:30,13:52:43,40,13,20
456,ea8c2a2c984191ea5ed05fc6433932cb24e6427e,23,13:48:40,13:52:05,90,16,16
